PROVNUM,PROVNAME,Provider Address,Telephone Number,Provider Resides in Hospital,Provider Type,COUNTY_NAME,ZIP Code
335364,CUBA MEMORIAL HOSPITAL INC S N F,140 WEST MAIN STREET,5859682000,Y,Medicare and Medicaid,Allegany,14727
335365,NYACK RIDGE REHABILITATION AND NURSING CENTER,476 CHRISTIAN HERALD ROAD,8452686861,N,Medicare and Medicaid,Rockland,10989
335366,WOODSIDE MANOR NURSING HOME INC,2425 CLINTON AVENUE SOUTH,5854610370,N,Medicare and Medicaid,Monroe,14618
335369,PARK RIDGE NURSING HOME,1555 LONG POND ROAD,5857237205,N,Medicare and Medicaid,Monroe,14626
335371,ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,301 NANTUCKET DRIVE,6077542705,N,Medicare and Medicaid,Broome,13760
335372,"NEW VANDERBILT REHABILITATION AND CARE CENTER, INC",135 VANDERBILT AVE,7184470701,N,Medicare and Medicaid,Richmond,10304
335373,BAINBRIDGE NURSING & REHABILITATION CENTER,3518 BAINBRIDGE AVENUE,7186551991,N,Medicare and Medicaid,Bronx,10467
335374,THE PINES AT UTICA CENTER FOR NURSING AND REHAB,1800 BUTTERFIELD AVE,3157973570,N,Medicare and Medicaid,Oneida,13501
335375,SCHUYLER HOSPITAL INC & LONG TERM CARE UNIT,220 STEUBEN STREET,6075357121,Y,Medicare and Medicaid,Schuyler,14865
335376,SCHOELLKOPF HEALTH CENTER,621 TENTH STREET,7162784578,Y,Medicare and Medicaid,Niagara,14302
335377,COLLAR CITY NURSING AND REHABILITATION CENTER,100 NEW TURNPIKE ROAD,5182351410,N,Medicare and Medicaid,Rensselaer,12182
335378,SODUS REHABILITATION & NURSING CENTER,6884 MAPLE AVE,3154839118,N,Medicare and Medicaid,Wayne,14551
335379,REGO PARK NURSING HOME,111 26 CORONA AVENUE,7185926400,N,Medicare and Medicaid,Queens,11368
335380,NORTHERN METROPOLITAN RES HEALTH CARE FACILITY INC,225 MAPLE AVENUE,8453529000,N,Medicare and Medicaid,Rockland,10952
335381,SCHULMAN AND SCHACHNE INST FOR NURSING & REHAB,555 ROCKAWAY PARKWAY,7182405775,Y,Medicare and Medicaid,Kings,11212
335382,"THE COMMONS ON ST ANTHONY, A S N F & SHORT T R C",3 ST ANTHONY STREET,3152530351,N,Medicare and Medicaid,Cayuga,13021
335383,ST CABRINI NURSING HOME,115 BROADWAY,9146936800,N,Medicare and Medicaid,Westchester,10522
335386,THE GRAND REHABILITATION AND NURSING AT MOHAWK,99 SIXTH AVENUE,3158954050,N,Medicare and Medicaid,Herkimer,13357
335387,PENINSULA NURSING AND REHABILITATION CENTER,50 15 BEACH CHANNEL DRIVE,7187342000,N,Medicare and Medicaid,Queens,11691
335388,LACONIA NURSING HOME,1050 EAST 230TH STREET,7186545875,N,Medicare and Medicaid,Bronx,10466
335389,LIVINGSTON HILLS NURSING AND REHABILITATION CENTER,2781 ROUTE 9,5188513041,N,Medicare and Medicaid,Columbia,12541
335390,SURGE REHABILITATION AND NURSING LLC,49 OAKCREST AVE,6319248820,N,Medicare and Medicaid,Suffolk,11953
335391,ELDERWOOD AT GRAND ISLAND,2850 GRAND ISLAND BLVD,7167735900,N,Medicare and Medicaid,Erie,14072
335392,CROWN PARK REHABILITATION AND NURSING CENTER,28 KELLOGG ROAD,6077539631,N,Medicare and Medicaid,Cortland,13045
335393,"SUSQUEHANNA NURSING & REHABILITATION CENTER, L L C",282 RIVERSIDE DR,6077299206,N,Medicare and Medicaid,Broome,13790
335394,WESLEY HEALTH CARE CENTER INC,131 LAWRENCE STREET,5185873600,N,Medicare and Medicaid,Saratoga,12866
335396,MONTGOMERY NURSING AND REHABILITATION CENTER,2817 ALBANY POST ROAD,8454573155,N,Medicare and Medicaid,Orange,12549
335397,ORCHARD REHABILITATION & NURSING CENTER,600 BATES ROAD,5857984100,N,Medicare and Medicaid,Orleans,14103
335398,SANS SOUCI REHABILITATION AND NURSING CENTER,115 PARK AVENUE,9144239800,N,Medicare and Medicaid,Westchester,10703
335399,HUDSON VALLEY REHABILITATION & EXTENDED CARE CTR,"260 VINEYARD AVE, RT 44/55",8456917201,N,Medicare and Medicaid,Ulster,12528
335400,"SENECA NURSING & REHABILITATION CENTER, L L C",200 DOUGLAS DRIVE,3155399202,N,Medicare and Medicaid,Seneca,13165
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,340 EAST MONTAUK HIGHWAY,6315816400,N,Medicare and Medicaid,Suffolk,11730
335402,"OASIS REHABILITATION AND NURSING, LLC",6 FROWEIN ROAD,6318784400,N,Medicare and Medicaid,Suffolk,11934
335403,WAYNE HEALTH CARE,100 SUNSET DRIVE,3153322700,Y,Medicare and Medicaid,Wayne,14513
335404,RENAISSANCE REHABILITATION AND NURSING CARE CENTER,4975 ALBANY POST ROAD,8458894500,N,Medicare and Medicaid,Dutchess,12580
335405,FERNCLIFF NURSING HOME CO INC,21 FERNCLIFF DRIVE,8458762011,N,Medicare and Medicaid,Dutchess,12572
335406,WAYNE COUNTY NURSING HOME,1529 NYE ROAD,3159465673,N,Medicare and Medicaid,Wayne,14489
335407,PENFIELD PLACE,1700 PENFIELD RD,5855867433,N,Medicare and Medicaid,Monroe,14526
335408,WEDGEWOOD NURSING REHABILITATION CENTER,5 CHURCH STREET,5853524810,N,Medicare and Medicaid,Monroe,14559
335409,SUNNYSIDE CARE CENTER,7000 COLLAMER RD,3156567218,N,Medicare and Medicaid,Onondaga,13057
335410,WATERS EDGE AT PORT JEFFERSON FOR REHAB AND NRSG,150 DARK HOLLOW ROAD,6314735400,N,Medicare and Medicaid,Suffolk,11777
335411,SEA CREST NURSING AND REHABILITATION CENTER,3035 WEST 24TH ST,7183724500,N,Medicare and Medicaid,Kings,11224
335412,COOPERSTOWN CENTER FOR REHABILITATION AND NURSING,128 PHOENIX MILLS CROSS ROAD,6075442600,N,Medicare and Medicaid,Otsego,13326
335413,WASHINGTON CENTER FOR REHAB AND HEALTHCARE,ROUTE 40,5186388274,N,Medicare and Medicaid,Washington,12809
335415,"LAWRENCE NURSING CARE CENTER, INC",350 BEACH 54TH STREET,7189450400,N,Medicare and Medicaid,Queens,11692
335416,DRY HARBOR NURSING HOME,61 35 DRY HARBOR ROAD,7185654200,N,Medicare and Medicaid,Queens,11379
335418,"NORTHERN RIVERVIEW HEALTH CARE, INC",87 SOUTH ROUTE 9W,8454295381,N,Medicare and Medicaid,Rockland,10927
335419,ST CATHERINE LABOURE HEALTH CARE CENTER,2157 MAIN STREET,7168622000,Y,Medicare and Medicaid,Erie,14214
335421,TARRYTOWN HALL CARE CENTER,20 WOOD COURT,9146312600,N,Medicare and Medicaid,Westchester,10591
335422,RIVER RIDGE LIVING CENTER,100 SANDY DRIVE,5188433503,N,Medicare and Medicaid,Montgomery,12010
335423,PREMIER GENESEE CENTER FOR NRSG AND REHABILITATION,278 BANK STREET,5853440584,N,Medicare and Medicaid,Genesee,14020
335424,MARTINE CENTER FOR REHABILITATION AND NURSING,12 TIBBITS AVENUE,9142877200,N,Medicare and Medicaid,Westchester,10606
335425,SHAKER PLACE REHABILITATION AND NURSING CENTER,780 ALBANY SHAKER ROAD,5188692231,N,Medicare and Medicaid,Albany,12211
335426,FRANKLIN CENTER FOR REHABILITATION AND NURSING,142 27 FRANKLIN AVENUE,7186703400,N,Medicare and Medicaid,Queens,11355
335427,ONEIDA HEALTH REHABILITATION AND EXTENDED CARE,323 GENESEE STREET,3153636000,Y,Medicare and Medicaid,Madison,13421
335428,LEWIS COUNTY GENERAL HOSPITAL-NURSING HOME UNIT,7785 NORTH STATE STREET,3153765200,Y,Medicare and Medicaid,Lewis,13367
335429,ELDERWOOD AT NORTH CREEK,112 SKI BOWL ROAD,5182512447,N,Medicare and Medicaid,Warren,12853
335431,SAMARITAN KEEP NURSING HOME INC,133 PRATT ST,3157854400,Y,Medicare and Medicaid,Jefferson,13601
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,5168971220,N,Medicare and Medicaid,Nassau,11561
335433,MCAULEY RESIDENCE,1503 MILITARY ROAD,7164476600,N,Medicare and Medicaid,Erie,14217
335434,LITTLE NECK CARE CENTER,260 19 NASSAU BLVD,7184236400,N,Medicare and Medicaid,Queens,11362
335435,JENNIE B RICHMOND CHAFFEE NURSING HOME COMPANY INC,222 EAST MAIN STREET,7165922871,Y,Medicare and Medicaid,Erie,14141
335436,JAMAICA HOSPITAL NURSING HOME CO INC,89-40  135TH  STREET,7182065000,Y,Medicare and Medicaid,Queens,11418
335437,ELLICOTT CENTER FOR REHABILITATION AND NURSING,200 SEVENTH STREET,7168472500,N,Medicare and Medicaid,Erie,14201
335438,MEADOWBROOK HEALTHCARE,154 NORTH PROSPECT AVENUE,5185635440,N,Medicare and Medicaid,Clinton,12901
335439,THE PEARL NURSING CENTER OF ROCHESTER,1335 PORTLAND AVE,5855444000,N,Medicare and Medicaid,Monroe,14621
335440,THE PINES AT POUGHKEEPSIE CTR FOR NURSING & REHAB,100 FRANKLIN STREET,8454544100,N,Medicare and Medicaid,Dutchess,12601
335441,CORTLANDT HEALTHCARE,110 OREGON ROAD,9147399150,N,Medicare and Medicaid,Westchester,10567
335442,CHAMPLAIN VALLEY PHYSICIANS HOSP MED CTR S N F,75 BEEKMAN STREET,5185627760,Y,Medicare and Medicaid,Clinton,12901
335445,TRIBORO CENTER FOR REHABILITATION AND NURSING,1160 TELLER AVE,7182931500,N,Medicare and Medicaid,Bronx,10456
335446,CYPRESS GARDEN CENTER FOR NURSING AND REHAB,139 66 35TH AVENUE,7189615300,N,Medicare and Medicaid,Queens,11354
335447,KING STREET HOME INC,787 KING STREET,9149375800,N,Medicare and Medicaid,Westchester,10573
335448,QUEENS NASSAU REHABILITATION AND NURSING CENTER,520 BEACH 19TH STREET,7184717400,N,Medicare and Medicaid,Queens,11691
335449,ACHIEVE REHAB AND NURSING FACILITY,170 LAKE STREET,8452924200,N,Medicare and Medicaid,Sullivan,12754
335451,GOLDEN HILL NURSING AND REHABILITATION CENTER,99 GOLDEN HILL DRIVE,8453403390,N,Medicare and Medicaid,Ulster,12401
335455,CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,88 OLD TOWN ROAD,7189795000,N,Medicare and Medicaid,Richmond,10304
335457,FIDDLERS GREEN MANOR REHAB AND NURSING CENTER,168 WEST MAIN STREET,7165924781,N,Medicare and Medicaid,Erie,14141
335458,THE GRAND REHABILITATION AND NURSING AT PAWLING,9 RESERVOIR ROAD,8458555700,N,Medicare and Medicaid,Dutchess,12564
335459,WESTCHESTER CENTER FOR REHABILITATION & NURSING,10 CLAREMONT AVE,9146991600,N,Medicare and Medicaid,Westchester,10550
335461,NEW GOUVERNEUR HOSPITAL S N F,227 MADISON STREET,2124415023,N,Medicare and Medicaid,New York,10002
335462,THE PLAZA REHAB AND NURSING CENTER,100 WEST KINGSBRIDGE ROAD,7184101500,N,Medicare and Medicaid,Bronx,10468
335464,SAPPHIRE NURSING AT MEADOW HILL,172 MEADOW HILL ROAD,8455641700,N,Medicare and Medicaid,Orange,12550
335465,DAUGHTERS OF SARAH NURSING CENTER,180 WASHINGTON AVE EXT,5184567831,N,Medicare and Medicaid,Albany,12203
335466,KINGSWAY ARMS NURSING CENTER INC,323 KINGS ROAD,5183934117,N,Medicare and Medicaid,Schenectady,12304
335467,CREST MANOR LIVING AND REHABILITATION CENTER,6745 PITTSFORD PALMYRA ROAD,5852233633,N,Medicare and Medicaid,Monroe,14450
335468,BEECHWOOD HOMES,2235 MILLERSPORT HIGHWAY,7168107000,N,Medicare and Medicaid,Erie,14068
335470,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,4915 10TH AVE,7188513700,N,Medicare and Medicaid,Kings,11219
335471,UTICA REHABILITATION & NURSING CENTER,2535 GENESEE STREET,3157971230,N,Medicare and Medicaid,Oneida,13501
335472,CENTRAL QUEENS REHAB & NURSING CENTER,69 95 QUEENS MIDTOWN EXPRESSWAY,7184292200,N,Medicare and Medicaid,Queens,11378
335473,ROCHESTER COMMUNITY NURSING AND REHABILITATION CTR,989 BLOSSOM ROAD,5854823500,N,Medicare and Medicaid,Monroe,14610
335475,CHARLES T SITRIN HEALTH CARE CENTER INC,2050 TILDEN AVE,3157973114,N,Medicare and Medicaid,Oneida,13413
335476,THE FRIENDLY HOME,3156 EAST AVENUE,5857893352,N,Medicare and Medicaid,Monroe,14618
335478,ESSEX CENTER FOR REHABILITATION AND HEALTHCARE,81 PARK STREET,5188733570,N,Medicare and Medicaid,Essex,12932
335480,CHEMUNG COUNTY HEALTH CENTER - NURSING FACILITY,103 WASHINGTON STREET,6077372001,N,Medicare and Medicaid,Chemung,14901
335481,NEWFANE REHAB & HEALTH CARE CENTER,2709 TRANSIT RD,7167787111,N,Medicare and Medicaid,Niagara,14108
335482,ELDERWOOD AT TICONDEROGA,101 ADIRONDACK DRIVE,5185856771,N,Medicare and Medicaid,Essex,12883
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,5164663001,N,Medicare and Medicaid,Nassau,11021
335484,MORNINGSIDE NURSING AND REHABILITATION CENTER,1000 PELHAM PARKWAY SOUTH,7184098200,N,Medicare and Medicaid,Bronx,10461
335485,CHAUTAUQUA NURSING AND REHABILITATION CENTER,10836 TEMPLE ROAD,7163666400,N,Medicare and Medicaid,Chautauqua,14048
335486,PELHAM PARKWAY NURSING CARE & REHAB FACILITY L L C,2401 LACONIA AVE,7187988600,N,Medicare and Medicaid,Bronx,10469
335487,ST JOHNLAND NURSING CENTER INC,395 SUNKEN MEADOW ROAD,6312695800,N,Medicare and Medicaid,Suffolk,11754
335488,WESLEY GARDENS CORPORATION,3 UPTON PARK,5856852525,N,Medicare and Medicaid,Monroe,14607
335489,MORNINGSTAR RESIDENTIAL CARE CENTER,17 SUNRISE TERRACE,3153424790,N,Medicare and Medicaid,Oswego,13126
335490,BETHEL NURSING HOME COMPANY INC,17 NARRAGANSETT AVENUE,9149417300,N,Medicare and Medicaid,Westchester,10562
335491,"THE NEW JEWISH HOME, MANHATTAN",120 WEST 106TH STREET,2128705000,N,Medicare and Medicaid,New York,10025
335493,CONCOURSE REHABILITATION AND NURSING CENTER INC,1072 GRAND CONCOURSE,7186814000,N,Medicare and Medicaid,Bronx,10456
335494,PENN YAN MANOR NURSING HOME INC,655 N LIBERTY STREET,3155362311,N,Medicare and Medicaid,Yates,14527
335495,WAYNE CENTER FOR NURSING & REHABILITATION,3530 WAYNE AVENUE,7186551700,N,Medicare and Medicaid,Bronx,10467
335497,TRUSTEES OF EASTERN STAR HALL & HOME OF THE N Y S,8290 STATE RT 69,3157369311,N,Medicare and Medicaid,Oneida,13424
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,5168891100,N,Medicare and Medicaid,Nassau,11561
335500,ELDERWOOD AT LOCKPORT,104 OLD NIAGARA ROAD,7164346324,N,Medicare and Medicaid,Niagara,14094
335502,GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,191 BRADLEY AVE,7186988800,N,Medicare and Medicaid,Richmond,10314
335503,HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,195 44 WOODHULL AVENUE,7187403500,N,Medicare and Medicaid,Queens,11423
335504,SENECA HEALTH CARE CENTER,2987 SENECA STREET,7168280500,N,Medicare and Medicaid,Erie,14224
335505,HIGHLAND CARE CENTER,91 31 175TH STREET,7186576363,N,Medicare and Medicaid,Queens,11432
335506,BRONX CENTER FOR REHABILITATION & HEALTH CARE,1010 UNDERHILL AVE,7188636700,N,Medicare and Medicaid,Bronx,10472
335508,SKY VIEW REHABILITATION & HEALTH CARE CENTER L L C,1280 ALBANY POST RD,9142715151,N,Medicare and Medicaid,Westchester,10520
335510,FOLTSBROOK CENTER FOR NURSING AND REHABILITATION,104 NORTH WASHINGTON STREET,3158666964,N,Medicare and Medicaid,Herkimer,13350
335511,EAST SIDE NURSING HOME,62 PROSPECT ST,5857868151,N,Medicare and Medicaid,Wyoming,14569
335513,SEAGATE REHABILITATION AND NURSING CENTER,3015 W 29 ST,7182665700,N,Medicare and Medicaid,Kings,11224
335514,ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON,1360 ROUTE 112,6314737100,N,Medicare and Medicaid,Suffolk,11776
335515,YONKERS GARDENS CENTER FOR NURSING AND REHAB,115 SOUTH BROADWAY,9143787358,N,Medicare and Medicaid,Westchester,10701
335516,THE PHOENIX REHABILITATION AND NURSING CENTER,140 ST EDWARDS STREET,7188586400,N,Medicare and Medicaid,Kings,11201
335517,NEW EAST SIDE NURSING HOME,25 BIALYSTOKER PLACE,2126738500,N,Medicare and Medicaid,New York,10002
335520,IDEAL SENIOR LIVING CENTER,601 HIGH AVENUE,6077867300,N,Medicare and Medicaid,Broome,13760
335522,"HARLEM CTR FOR NURSING AND REHABILITATION, L L C",30 WEST 138TH STREET,2126907400,N,Medicare and Medicaid,New York,10037
335523,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,1270 67TH STREET,7182322322,N,Medicare and Medicaid,Kings,11219
335524,METHODIST HOME FOR NURSING AND REHABILITATION,4499 MANHATTAN COLLEGE PARKWAY,7185485100,N,Medicare and Medicaid,Bronx,10471
335525,RIVERSIDE CENTER FOR REHABILITATION AND NURSING,90 NO MAIN STREET,5187327617,N,Medicare and Medicaid,Rensselaer,12033
335526,HIGHLAND REHABILITATION AND NURSING CENTER,120 HIGHLAND AVENUE,8453421033,N,Medicare and Medicaid,Orange,10940
335527,GOOD SHEPHERD-FAIRVIEW HOME INC,80 FAIRVIEW AVENUE,6077242477,N,Medicare and Medicaid,Broome,13904
335528,PLATTSBURGH REHABILITATION AND NURSING CENTER,8 BUSHEY BOULEVARD,5185633261,N,Medicare and Medicaid,Clinton,12901
335531,HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,182 15 HILLSIDE AVENUE,7182918200,N,Medicare and Medicaid,Queens,11432
335532,AARON MANOR REHABILITATION AND NURSING CENTER,100 ST CAMILLUS WAY,5853774000,N,Medicare and Medicaid,Monroe,14450
335533,ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,4540 LINCOLN DRIVE,7167722631,N,Medicare and Medicaid,Niagara,14067
335534,SALAMANCA REHABILITATION & NURSING CENTER,451 BROAD STREET,7169451800,N,Medicare and Medicaid,Cattaraugus,14779
335537,"RUTLAND NURSING HOME, INC",585 SCHENECTADY AVE,7186045221,N,Medicare and Medicaid,Kings,11203
335538,CONCORD NURSING AND REHABILITATION CENTER,300 MADISON STREET,7186367500,N,Medicare and Medicaid,Kings,11216
335539,OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR,111 BEACH DRIVE,6315871600,N,Medicare and Medicaid,Suffolk,11795
335540,THE GRAND REHABILITATION AND NRSG AT GUILDERLAND,428 STATE ROUTE 146,5188615141,N,Medicare and Medicaid,Albany,12009
335541,MASONIC CARE COMMUNITY OF NEW YORK,2150 BLEECKER STREET,3157984800,N,Medicare and Medicaid,Oneida,13501
335543,CAPSTONE CENTER FOR REHABILITATION AND NURSING,302 SWART HILL ROAD,5188426790,N,Medicare and Medicaid,Montgomery,12010
335545,KING DAVID CENTER FOR NURSING AND REHABILITATION,2266 CROPSEY AVENUE,7182666100,N,Medicare and Medicaid,Kings,11214
335546,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,4290 MIDDLE SETTLEMENT ROAD,3157977500,N,Medicare and Medicaid,Oneida,13413
335548,ONONDAGA CENTER FOR REHABILITATION AND NURSING,217 EAST AVENUE,3156567277,N,Medicare and Medicaid,Onondaga,13116
335549,WARREN CENTER FOR REHABILITATION AND NURSING,42 GURNEY LANE,5187616540,N,Medicare and Medicaid,Warren,12804
335554,"THE BRIGHTONIAN, INC",1919 ELMWOOD AVENUE,5852718700,N,Medicare and Medicaid,Monroe,14620
335555,COLD SPRING HILLS CENTER FOR NURSING AND REHAB,378 SYOSSET WOODBURY ROAD,5169213900,N,Medicare and Medicaid,Nassau,11797
335556,ROCHESTER CENTER FOR REHABILITATION AND NURSING,525 BEAHAN ROAD,5852477880,N,Medicare and Medicaid,Monroe,14624
335557,REBEKAH REHAB AND EXTENDED CARE CENTER,1072 HAVEMEYER AVENUE,7188636200,N,Medicare and Medicaid,Bronx,10462
335558,BENSONHURST CENTER FOR REHAB AND HEALTHCARE,1740 84TH STREET,7182323666,N,Medicare and Medicaid,Kings,11214
335559,SUNHARBOR MANOR,255 WARNER AVENUE,5166215400,N,Medicare and Medicaid,Nassau,11577
335560,NEW YORK CONGREGATIONAL NURSING CENTER,135 LINDEN BOULEVARD,7186936060,N,Medicare and Medicaid,Kings,11226
335561,STATEN ISLAND CARE CENTER,200 LAFAYETTE AVENUE,7184489000,N,Medicare and Medicaid,Richmond,10301
335562,LIVINGSTON COUNTY CENTER FOR NURSING AND REHAB,11 MURRAY HILL DRIVE,5852437200,N,Medicare and Medicaid,Livingston,14510
335563,"ROME MEMORIAL HOSPITAL, INC - R H C F",1500 NORTH JAMES STREET,3153387318,Y,Medicare and Medicaid,Oneida,13440
335564,ONTARIO CENTER FOR REHABILITATION AND HEALTHCARE,3062 COUNTY COMPLEX DRIVE,5853964340,N,Medicare and Medicaid,Ontario,14424
335565,THE GRAND REHABILITATION AND NURSING AT BARNWELL,3230 CHURCH STREET,5187586222,N,Medicare and Medicaid,Columbia,12184
335566,UNITED HELPERS CANTON NURSING HOME,205 STATE STREET ROAD,3153864541,N,Medicare and Medicaid,St. Lawrence,13617
335568,SUNRISE MANOR CTR FOR NURSING AND REHABILITATION,1325 BRENTWOOD ROAD,6316654960,N,Medicare and Medicaid,Suffolk,11706
335569,ELDERWOOD OF LAKESIDE AT BROCKPORT,170 WEST AVENUE,5853956052,N,Medicare and Medicaid,Monroe,14420
335570,AMSTERDAM NURSING HOME CORP (1992),1060 AMSTERDAM AVENUE,2123167700,N,Medicare and Medicaid,New York,10025
335571,ROCKAWAY CARE CENTER,353 BEACH 48TH STREET,7184715000,N,Medicare and Medicaid,Queens,11691
335572,MAPLEWOOD NURSING HOME INC,100 DANIEL DRIVE,5858721800,N,Medicare and Medicaid,Monroe,14580
335573,LOCKPORT REHAB & HEALTH CARE CENTER,909 LINCOLN AVE,7164346361,N,Medicare and Medicaid,Niagara,14094
335574,GREENE MEADOWS NURSING AND REHABILITATION CENTER,161 JEFFERSON HEIGHTS,5189439380,N,Medicare and Medicaid,Greene,12414
335576,FAIRPORT BAPTIST HOMES,4646 NINE MILE POINT ROAD,5853882320,N,Medicare and Medicaid,Monroe,14450
335577,ELDERWOOD AT LANCASTER,1818 COMO PARK BLVD,7166836165,N,Medicare and Medicaid,Erie,14086
335578,THE PINES HEALTHCARE & REHAB CTRS MACHIAS CAMPUS,9822 ROUTE 16,7163538516,N,Medicare and Medicaid,Cattaraugus,14101
335579,CARTHAGE CENTER FOR REHABILITATION AND NURSING,1045 WEST STREET,3154933220,N,Medicare and Medicaid,Jefferson,13619
335581,PINNACLE MULTICARE NURSING AND REHAB CENTER,801 CO OP CITY BLVD,7182396500,N,Medicare and Medicaid,Bronx,10475
335582,BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,250 BEACH 17TH STREET,7184717500,N,Medicare and Medicaid,Queens,11691
335583,ARCHCARE AT PROVIDENCE REST,3304 WATERBURY AVENUE,7189313000,N,Medicare and Medicaid,Bronx,10465
335585,WATERVILLE RESIDENTIAL CARE CENTER,220 TOWER STREET,3158414156,N,Medicare and Medicaid,Oneida,13480
335586,ALPINE REHABILITATION AND NURSING CENTER,755 E MONROE STREET,3158230973,N,Medicare and Medicaid,Herkimer,13365
335587,"SUNSET NURSING AND REHABILITATION CENTER, INC",232 ACADEMY STREET,3159424301,N,Medicare and Medicaid,Oneida,13309
335588,THE GRAND REHABILITATION AND NRSG AT CHITTENANGO,331 RUSSELL STREET,3155106400,N,Medicare and Medicaid,Madison,13037
335589,THE GRAND REHABILITATION AND NURSING AT ROME,801 NORTH JAMES STREET,3153370550,N,Medicare and Medicaid,Oneida,13440
335590,PONTIAC NURSING HOME,303 EAST RIVER ROAD,3153431800,N,Medicare and Medicaid,Oswego,13126
335592,MASSENA REHABILITATION & NURSING CENTER,89 GROVE STREET,3157692494,N,Medicare and Medicaid,St. Lawrence,13662
335595,DUNKIRK REHABILITATION & NURSING CENTER,447 449 LAKE SHORE DRIVE WEST,7163666710,N,Medicare and Medicaid,Chautauqua,14048
335596,SWAN LAKE NURSING & REHABILITATION,25 SCHOENFELD BLVD,6312897700,N,Medicare and Medicaid,Suffolk,11772
335598,CLINTON COUNTY NURSING HOME,16 FLYNN AVENUE,5185630950,N,Medicare and Medicaid,Clinton,12901
335600,THE GRAND REHABILITATION AND NURSING AT UTICA,1657 SUNSET AVE,3157977392,N,Medicare and Medicaid,Oneida,13502
335601,THE CENTER FOR NURSING AND REHAB AT HOOSICK FALLS,21 DANFORTH STREET,5186864371,N,Medicare and Medicaid,Rensselaer,12090
335603,SCHOFIELD RESIDENCE,3333 ELMWOOD AVENUE,7168741566,N,Medicare and Medicaid,Erie,14217
335604,BROOKLYN UNITED METHODIST CHURCH HOME,1485 DUMONT AVENUE,7188274500,N,Medicare and Medicaid,Kings,11208
335606,QUEEN OF PEACE RESIDENCE,110-30 221ST STREET,7184641800,N,Medicare and Medicaid,Queens,11429
335607,EDEN REHABILITATION NURSING CENTER,2806 GEORGE STREET,7169923987,N,Medicare and Medicaid,Erie,14057
335609,CROWN HEIGHTS CENTER FOR NURSING AND REHAB,810 20 ST MARKS AVENUE,7184677300,N,Medicare and Medicaid,Kings,11213
335610,ABSOLUT CTR FOR NURSING & REHAB ALLEGANY L L C,2178 NORTH FIFTH STREET,7163732238,N,Medicare and Medicaid,Cattaraugus,14706
335611,GLEN ISLAND CENTER FOR NURSING AND REHABILITATION,490 PELHAM ROAD,9146362800,N,Medicare and Medicaid,Westchester,10805
335612,BAPTIST HEALTH NURSING AND REHABILITATION CENTER,297 N BALLSTON AVE,5183704700,N,Medicare and Medicaid,Schenectady,12302
335613,THE BAPTIST HOME AT BROOKMEADE,46 BROOKMEADE DRIVE,8458762071,N,Medicare and Medicaid,Dutchess,12572
335614,BAYBERRY NURSING HOME,40 KEOGH LANE,9146363947,N,Medicare and Medicaid,Westchester,10805
335615,HAMILTON MANOR NURSING HOME,1172 LONG POND ROAD,5852250450,N,Medicare and Medicaid,Monroe,14626
335617,LATTA ROAD NURSING HOME WEST,2100 LATTA ROAD,5852250910,N,Medicare and Medicaid,Monroe,14612
335618,LATTA ROAD NURSING HOME EAST,2102 LATTA ROAD,5852250920,N,Medicare and Medicaid,Monroe,14612
335619,NORTH COUNTRY NURSING & REHABILITATION CENTER,182 HIGHLAND ROAD,3157699956,N,Medicare and Medicaid,St. Lawrence,13662
335620,UNITY LIVING CENTER,89 GENESEE STREET,5853683881,N,Medicare and Medicaid,Monroe,14611
335621,UNITED HEBREW GERIATRIC CENTER,391 PELHAM ROAD,9146322804,N,Medicare and Medicaid,Westchester,10805
335625,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,520 PROSPECT PLACE,7186361000,N,Medicare and Medicaid,Kings,11238
335626,BEDFORD CENTER FOR NURSING AND REHABILITATION,40 HEYWARD STREET,7188586200,N,Medicare and Medicaid,Kings,11249
335627,TERESIAN HOUSE NURSING HOME CO INC,200 WASHINGTON AVE EXT,5184562000,N,Medicare and Medicaid,Albany,12203
335628,SULLIVAN COUNTY ADULT CARE CENTER,256 SUNSET LAKE ROAD,8452928640,N,Medicare and Medicaid,Sullivan,12754
335631,CHAPIN HOME FOR THE AGING,165 01 CHAPIN PARKWAY,7187392523,N,Medicare and Medicaid,Queens,11432
